Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
unix  3      [ ]         FLUJO      CONECTADO     14257    @/tmp/.X11-unix/X0
unix  3      [ ]         FLUJO      CONECTADO     17631    
unix  3      [ ]         FLUJO      CONECTADO     16695    @/dbus-vfs-daemon/socket-0mm4yfZj
unix  3      [ ]         FLUJO      CONECTADO     15735    
unix  3      [ ]         FLUJO      CONECTADO     11656    
unix  3      [ ]         FLUJO      CONECTADO     16066    
unix  3      [ ]         FLUJO      CONECTADO     14210    
unix  3      [ ]         DGRAM                    8757     
unix  3      [ ]         FLUJO      CONECTADO     16730    
unix  3      [ ]         FLUJO      CONECTADO     15733    
unix  3      [ ]         FLUJO      CONECTADO     14690    
unix  3      [ ]         FLUJO      CONECTADO     57545    
unix  2      [ ]         FLUJO      CONECTADO     21864    @/dbus-vfs-daemon/socket-EiC8FpYV
unix  3      [ ]         FLUJO      CONECTADO     15410    @/tmp/dbus-bLcrvscOCi
unix  2      [ ]         FLUJO      CONECTADO     45378    
unix  3      [ ]         FLUJO      CONECTADO     24237    
unix  3      [ ]         FLUJO      CONECTADO     17454    /var/run/dbus/system_bus_socket
unix  2      [ ]         DGRAM                    13172    
unix  3      [ ]         FLUJO      CONECTADO     15025    
unix  3      [ ]         FLUJO      CONECTADO     16820    
unix  3      [ ]         FLUJO      CONECTADO     15737    
unix  3      [ ]         FLUJO      CONECTADO     14699    @/tmp/dbus-qntOaF7e
unix  3      [ ]         FLUJO      CONECTADO     11599    
unix  3      [ ]         FLUJO      CONECTADO     15202    
unix  3      [ ]         FLUJO      CONECTADO     14429    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15976    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     23969    
unix  3      [ ]         FLUJO      CONECTADO     14581    @/tmp/.X11-unix/X0
unix  3      [ ]         FLUJO      CONECTADO     14185    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15739    
unix  3      [ ]         SEQPACKET  CONECTADO     17510    
unix  3      [ ]         FLUJO      CONECTADO     15899    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     14721    
unix  3      [ ]         FLUJO      CONECTADO     14550    
unix  3      [ ]         FLUJO      CONECTADO     16797    @/tmp/dbus-qntOaF7e
unix  3      [ ]         FLUJO      CONECTADO     16959    
unix  3      [ ]         FLUJO      CONECTADO     12322    
unix  3      [ ]         FLUJO      CONECTADO     15975    
unix  3      [ ]         FLUJO      CONECTADO     14253    
unix  3      [ ]         FLUJO      CONECTADO     23970    
unix  3      [ ]         FLUJO      CONECTADO     14577    @/tmp/dbus-bLcrvscOCi
unix  3      [ ]         FLUJO      CONECTADO     15200    
unix  3      [ ]         FLUJO      CONECTADO     14944    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     16830    
unix  3      [ ]         FLUJO      CONECTADO     16784    
unix  3      [ ]         FLUJO      CONECTADO     16265    @/tmp/.X11-unix/X0
unix  3      [ ]         FLUJO      CONECTADO     15893    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15741    
unix  3      [ ]         FLUJO      CONECTADO     12323    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     11574    
unix  3      [ ]         FLUJO      CONECTADO     17453    
unix  3      [ ]         FLUJO      CONECTADO     15283    
unix  3      [ ]         FLUJO      CONECTADO     10561    
unix  3      [ ]         FLUJO      CONECTADO     14984    
unix  3      [ ]         FLUJO      CONECTADO     14125    
unix  3      [ ]         FLUJO      CONECTADO     12326    
unix  3      [ ]         FLUJO      CONECTADO     14445    
unix  3      [ ]         FLUJO      CONECTADO     16850    
unix  3      [ ]         FLUJO      CONECTADO     11449    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     14701    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14560    
unix  3      [ ]         FLUJO      CONECTADO     16769    
unix  3      [ ]         FLUJO      CONECTADO     14549    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     14397    
unix  3      [ ]         FLUJO      CONECTADO     14350    
unix  3      [ ]         FLUJO      CONECTADO     17460    /var/run/dbus/system_bus_socket
unix  3      [ ]         FLUJO      CONECTADO     16063    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     15863    @/tmp/dbus-qxemQ3Z7KM
unix  3      [ ]         FLUJO      CONECTADO     14359    
unix  3      [ ]         FLUJO      CONECTADO     14575    
unix  3      [ ]         FLUJO      CONECTADO     14256    
unix  3      [ ]         FLUJO      CONECTADO     15229    
unix  3      [ ]         FLUJO      CONECTADO     11600    /var/run/dbus/system_bus_socket
